android_system_properties 0.1.5
atk 0.18.2
base64 0.21.7
brotli 8.0.4
bytemuck 1.25.2
cairo-sys-rs 0.18.2
cesu8 1.1.0
cfg-expr 0.15.8
chrono 0.4.45
core-foundation 0.10.1
core-graphics 0.25.0
crossbeam-channel 0.5.16
dbus 0.9.12
derive_more 2.1.1
dlopen2_derive 0.4.3
embed_plist 1.2.2
errno 0.3.14
foreign-types 0.3.2
foreign-types-macros 0.2.4
foreign-types-shared 0.3.1
futures-executor 0.3.33
gdk 0.18.2
gdk-pixbuf-sys 0.18.0
gdkwayland-sys 0.18.2
gdkx11-sys 0.18.2
gio-sys 0.18.1
glib-macros 0.18.5
gtk 0.18.2
gtk3-macros 0.18.2
hashbrown 0.12.3
heck 0.4.1
http 1.5.0
hyper 1.11.0
iana-time-zone 0.1.65
ico 0.5.0
icu_locale_core 2.2.0
icu_properties_data 2.2.0
javascriptcore-rs 1.1.2
jni 0.21.1
jni-sys 0.4.1
js-sys 0.3.103
libappindicator 0.9.0
libloading 0.7.4
linux-raw-sys 0.12.1
ndk-sys 0.6.0+11769913
num_enum 0.7.6
objc2 0.6.4
objc2-cloud-kit 0.3.2
objc2-core-foundation 0.3.2
objc2-core-image 0.3.2
objc2-core-text 0.3.2
objc2-exception-helper 0.1.1
objc2-io-surface 0.3.2
objc2-ui-kit 0.3.2
objc2-web-kit 0.3.2
openssl 0.10.81
openssl-probe 0.2.1
pango-sys 0.18.0
pkg-config 0.3.33
proc-macro-crate 2.0.2
proc-macro-error 1.0.4
r-efi 6.0.0
redox_syscall 0.5.18
reqwest 0.13.4
rustix 1.1.4
rustversion 1.0.23
security-framework-sys 2.17.0
serde_spanned 0.6.9
soup3 0.5.0
syn 1.0.109
system-configuration-sys 0.6.0
target-lexicon 0.12.16
toml 0.8.2
toml_edit 0.19.15
toml_edit 0.25.13+spec-1.1.0
version-compare 0.2.1
wasi 0.11.1+wasi-snapshot-preview1
wasm-bindgen 0.2.126
wasm-bindgen-macro 0.2.126
wasm-bindgen-shared 0.2.126
wasm-streams 0.5.0
webkit2gtk-sys 2.0.2
winapi 0.3.9
windows-core 0.62.2
windows-sys 0.45.0
windows-targets 0.42.2
windows_aarch64_gnullvm 0.42.2
windows_aarch64_msvc 0.42.2
windows_i686_gnu 0.42.2
windows_i686_gnullvm 0.52.6
windows_i686_msvc 0.52.6
windows_x86_64_gnu 0.52.6
windows_x86_64_gnullvm 0.52.6
x11 2.21.0
